○173|53○T_StartupDay
●173|53●T_StartupDay

○914|76○T『大人っぽいものを選ぶ』⇒青葉＋１
●914|76●T『大人っぽいものを選ぶ』⇒青葉＋１

○990|84○T『子供らしいものを選ぶ』⇒青葉フラグ２Ｏｎ
●990|84●T『子供らしいものを選ぶ』⇒青葉フラグ２Ｏｎ

○1749|49○TCmn0712
●1749|49●TCmn0712

○1930|57○T_CreateSaveText
●1930|57●T_CreateSaveText

○1987|53○T_PrintParam
●1987|53●T_PrintParam

○2152|54○TBGSP_02d.gpd
●2152|54●TBGSP_02d.gpd

○2296|57○　さて、と……。
●2296|57●　さて、と……。

○2393|83○　俺は開いていたノートを白紙のまま閉じた。
●2393|83●　俺は開いていたノートを白紙のまま閉じた。

○2516|171○　明日からの期末テストに備え早朝学習を試みてみたが、やはり慣れない環境下ではモチベーションが上がらない。きっと俺は夜型人間なんだ。
●2516|171●　明日からの期末テストに備え早朝学習を試みてみたが、やはり慣れない環境下ではモチベーションが上がらない。きっと俺は夜型人間なんだ。

○2727|46○T舞人
●2727|46●T舞人

○2773|67○「夜なら勉強すんのかよ！」
●2773|67●「夜なら勉強すんのかよ！」

○2920|111○　木彫りの熊にツッコミを入れてから、俺は立ちあがって登校準備を始めた。
●2920|111●　木彫りの熊にツッコミを入れてから、俺は立ちあがって登校準備を始めた。

○3283|54○TBGSP_01d.gpd
●3283|54●TBGSP_01d.gpd

○3446|46○T青葉
●3446|46●T青葉

○3551|65○「……あ、おにいちゃん」
●3551|65●「……あ、おにいちゃん」

○3656|46○T舞人
●3656|46●T舞人

○3702|69○「あれ、おはよう青葉ちゃん」
●3702|69●「あれ、おはよう青葉ちゃん」

○3851|163○　扉を開けると、ちょうど青葉ちゃんと出くわした。俺にしてはけっこう早く、彼女にしてはちょっと遅い、という時刻のことだった。
●3851|163●　扉を開けると、ちょうど青葉ちゃんと出くわした。俺にしてはけっこう早く、彼女にしてはちょっと遅い、という時刻のことだった。

○4163|46○T青葉
●4163|46●T青葉

○4268|79○「えへへ、なんか久しぶりな気がするね」
●4268|79●「えへへ、なんか久しぶりな気がするね」

○4387|46○T舞人
●4387|46●T舞人

○4433|67○「あー、たしかにそうだね」
●4433|67●「あー、たしかにそうだね」

○4580|107○　青葉ちゃんのお迎えが絶えて、えーと……一ヵ月ぐらい経ったのかな。
●4580|107●　青葉ちゃんのお迎えが絶えて、えーと……一ヵ月ぐらい経ったのかな。

○4727|173○　ちょっと寂しい気もするけど、シゲさんの世話で忙しいんだろう。いくら俺が理想的な隣のお兄さんであっても、理想的な父親にはかなわない。
●4727|173●　ちょっと寂しい気もするけど、シゲさんの世話で忙しいんだろう。いくら俺が理想的な隣のお兄さんであっても、理想的な父親にはかなわない。

○4940|46○T舞人
●4940|46●T舞人

○4986|113○「最近はどう？　シゲさんも元気？　また麻雀やりましょうって言っといてよ」
●4986|113●「最近はどう？　シゲさんも元気？　また麻雀やりましょうって言っといてよ」

○5248|46○T青葉
●5248|46●T青葉

○5353|51○「あ……」
●5353|51●「あ……」

○5612|89○「あのね……お父さん、また出張に行っちゃったの」
●5612|89●「あのね……お父さん、また出張に行っちゃったの」

○5741|46○T舞人
●5741|46●T舞人

○5787|53○「え……？」
●5787|53●「え……？」

○5989|46○T青葉
●5989|46●T青葉

○6094|85○「帰ってきたら伝えとくね。お父さんも喜ぶよ」
●6094|85●「帰ってきたら伝えとくね。お父さんも喜ぶよ」

○6219|46○T舞人
●6219|46●T舞人

○6265|53○「うん……」
●6265|53●「うん……」

○6398|139○　そっか、シゲさんいないんだ……そういや最近、壁の向こうから豪快な笑い声が聞こえなかった気もする。
●6398|139●　そっか、シゲさんいないんだ……そういや最近、壁の向こうから豪快な笑い声が聞こえなかった気もする。

○6577|81○　じゃあ……青葉ちゃんがうちに来ないのは
●6577|81●　じゃあ……青葉ちゃんがうちに来ないのは

○6698|47○……。
●6698|47●……。

○6785|147○　そうか、きっとあれだ、自立精神が芽生えたんだ。他人を頼って寂しさを紛らすのはやめたんだ、そうに違いない。
●6785|147●　そうか、きっとあれだ、自立精神が芽生えたんだ。他人を頼って寂しさを紛らすのはやめたんだ、そうに違いない。

○6972|71○　……いいや、考えるのよそう。
●6972|71●　……いいや、考えるのよそう。

○7083|71○　俺たちは黙って階段を下りた。
●7083|71●　俺たちは黙って階段を下りた。

○7396|54○TBGSU_00d.gpd
