○173|53○T_StartupDay
●173|53●T_StartupDay

○281|49○TCmn0703
●281|49●TCmn0703

○470|57○T_CreateSaveText
●470|57●T_CreateSaveText

○527|53○T_PrintParam
●527|53●T_PrintParam

○692|54○TBGSP_02d.gpd
●692|54●TBGSP_02d.gpd

○836|71○　朝、珍しく爽快に目が覚めた。
●836|71●　朝、珍しく爽快に目が覚めた。

○947|105○　目覚ましはまだ充分に早い時間を指し示し、登校の準備もバッチリ。
●947|105●　目覚ましはまだ充分に早い時間を指し示し、登校の準備もバッチリ。

○1092|121○　キッチリと着こなされた制服は、オーダーメイドのように俺の姿を引き立たせている。
●1092|121●　キッチリと着こなされた制服は、オーダーメイドのように俺の姿を引き立たせている。

○1253|127○　課題はなかったはずだ。もっとも、あったらあったで心の友のノートを写すだけではあるが。
●1253|127●　課題はなかったはずだ。もっとも、あったらあったで心の友のノートを写すだけではあるが。

○1420|87○　開いた窓の向こうには、強く降りしきる水の糸。
●1420|87●　開いた窓の向こうには、強く降りしきる水の糸。

○1547|83○　爽やかに吹き抜ける、優しくも涼しげな風。
●1547|83●　爽やかに吹き抜ける、優しくも涼しげな風。

○1670|103○　香り豊かなコーヒーカップを片手に、その深みある苦さを楽しむ。
●1670|103●　香り豊かなコーヒーカップを片手に、その深みある苦さを楽しむ。

○1813|149○　小麦色に焼けたトースト。これでもかとばかりに大量のバターを塗って、少しだけ贅沢な雰囲気をかもし出してやる。
●1813|149●　小麦色に焼けたトースト。これでもかとばかりに大量のバターを塗って、少しだけ贅沢な雰囲気をかもし出してやる。

○2002|57○　穏やかだった。
●2002|57●　穏やかだった。

○2099|113○　かぎりなく穏やかな、水面の如き澄んだ心で今の桜井舞人は満たされている。
●2099|113●　かぎりなく穏やかな、水面の如き澄んだ心で今の桜井舞人は満たされている。

○2252|135○　授業中に眠る事がバカらしく思える。なんの問題もなく学生の本分たる勉学に勤しむ事が出来そうだ。
●2252|135●　授業中に眠る事がバカらしく思える。なんの問題もなく学生の本分たる勉学に勤しむ事が出来そうだ。

○2427|93○　鬼浅間の言葉すら、素直な心で頷けてしまえるだろう。
●2427|93●　鬼浅間の言葉すら、素直な心で頷けてしまえるだろう。

○2560|46○T舞人
●2560|46●T舞人

○2606|83○「今日が休日でなかったらの話だけどな……」
●2606|83●「今日が休日でなかったらの話だけどな……」

○2769|139○　あまりにベタな結末に、俺はただ穏やかな笑みを浮かべるしか自らを落ち着かせる術を知らなかった……。
●2769|139●　あまりにベタな結末に、俺はただ穏やかな笑みを浮かべるしか自らを落ち着かせる術を知らなかった……。

○2948|46○T舞人
●2948|46●T舞人

○2994|87○「こんな朝っぱらから街に出ても何もないしなあ」
●2994|87●「こんな朝っぱらから街に出ても何もないしなあ」

○3161|161○　ジョギングしている老人や、朝市という名の戦場に命をかける主婦を見学に行ったところで、得られるものは何もないしなあ……。
●3161|161●　ジョギングしている老人や、朝市という名の戦場に命をかける主婦を見学に行ったところで、得られるものは何もないしなあ……。

○3419|81○　不意に電話が鳴り響く。嫌な予感がした。
●3419|81●　不意に電話が鳴り響く。嫌な予感がした。

○3540|123○　こんな時間に電話をかけてくるような無作法者、俺は桜井の一族以外に存在を知らない。
●3540|123●　こんな時間に電話をかけてくるような無作法者、俺は桜井の一族以外に存在を知らない。

○3703|46○T舞人
●3703|46●T舞人

○3749|89○「あの母親め……また非常識人をひけらかしおって」
●3749|89●「あの母親め……また非常識人をひけらかしおって」

○3918|129○　呟きながら携帯を手に取る。だが意外にも、液晶に表示されている名前は予想とは別人だった。
●3918|129●　呟きながら携帯を手に取る。だが意外にも、液晶に表示されている名前は予想とは別人だった。

○4344|54○TBGSU_10d.gpd
●4344|54●TBGSU_10d.gpd

○4566|46○T舞人
●4566|46●T舞人

○4612|137○「まさか本当に、朝市という名の戦場に命をかける主婦を見学に来る事になるとは思いませんでした……」
●4612|137●「まさか本当に、朝市という名の戦場に命をかける主婦を見学に来る事になるとは思いませんでした……」

○4898|46○T和観
●4898|46●T和観

○5003|121○「悪いわねー。お一人様一袋まで、なんて言われたらほら、もう呼ぶしかないじゃない」
●5003|121●「悪いわねー。お一人様一袋まで、なんて言われたらほら、もう呼ぶしかないじゃない」

○5223|159○「この不平等で世知辛く、弱肉強食盛者必衰な世間をか弱い母子が生きていくためには、あらゆる手段を講じないとだめなのよー」
