○173|53○T_StartupDay
●173|53●T_StartupDay

○433|92○T『一日ぐらいならいいかなあ』⇒希望＋１、つばさ＋１
●433|92●T『一日ぐらいならいいかなあ』⇒希望＋１、つばさ＋１

○525|80○T『一日でも無駄にはできない』⇒変化なし
●525|80●T『一日でも無駄にはできない』⇒変化なし

○1234|49○TCmn0724
●1234|49●TCmn0724

○1417|57○T_CreateSaveText
●1417|57●T_CreateSaveText

○1474|53○T_PrintParam
●1474|53●T_PrintParam

○1577|54○TBGSU_06a.gpd
●1577|54●TBGSU_06a.gpd

○1740|46○T山彦
●1740|46●T山彦

○1845|53○「舞人……」
●1845|53●「舞人……」

○1978|129○　終業式も終わり、俺が一人で暗く沈んでいると、同じくらい沈鬱な表情で友人が近づいてきた。
●1978|129●　終業式も終わり、俺が一人で暗く沈んでいると、同じくらい沈鬱な表情で友人が近づいてきた。

○2147|46○T舞人
●2147|46●T舞人

○2193|107○「おお、親愛なる友よ。可哀想に、おまえも補習を言いわたされたのか」
●2193|107●「おお、親愛なる友よ。可哀想に、おまえも補習を言いわたされたのか」

○2340|171○「そうか……俺たち二人、ともに陽光の当たらぬ身なれど、友情という名のカンテラ一つ下げて、たがいの心を照らしあっていこうじゃないか」
●2340|171●「そうか……俺たち二人、ともに陽光の当たらぬ身なれど、友情という名のカンテラ一つ下げて、たがいの心を照らしあっていこうじゃないか」

○2551|46○T山彦
●2551|46●T山彦

○2656|63○「いや、それがな……」
●2656|63●「いや、それがな……」

○2759|46○T舞人
●2759|46●T舞人

○2805|71○「な、なんだ、言いにくそうに」
●2805|71●「な、なんだ、言いにくそうに」

○2916|101○「ま、まさか、おまえ、あまりに点数が低くて即決退学とか……」
●2916|101●「ま、まさか、おまえ、あまりに点数が低くて即決退学とか……」

○3057|46○T山彦
●3057|46●T山彦

○3162|99○「そうじゃなくてさ……悪い。俺、意外に点数良かったんだよ」
●3162|99●「そうじゃなくてさ……悪い。俺、意外に点数良かったんだよ」

○3301|46○T舞人
●3301|46●T舞人

○3347|159○「そうかぁ！　いやあ、嬉しいぞ友よ。もしこれがおまえに会う最後の日だったとしたら、俺はいかほどの涙を流したことだろう」
●3347|159●「そうかぁ！　いやあ、嬉しいぞ友よ。もしこれがおまえに会う最後の日だったとしたら、俺はいかほどの涙を流したことだろう」

○3546|87○「で、判決はどうだった？　留年か？　落第か？」
●3546|87●「で、判決はどうだった？　留年か？　落第か？」

○3782|46○T山彦
●3782|46●T山彦

○3887|49○「無罪」
●3887|49●「無罪」

○4026|46○T舞人
●4026|46●T舞人

○4072|55○「なんだとっ」
●4072|55●「なんだとっ」

○4326|46○T山彦
●4326|46●T山彦

○4431|89○「痛てっ……お、おい落ちつけ！　落ちつけって！」
●4431|89●「痛てっ……お、おい落ちつけ！　落ちつけって！」

○4600|109○　怒りのあまり錯乱した俺は、かつて友であった男の首に手をかけていた。
●4600|109●　怒りのあまり錯乱した俺は、かつて友であった男の首に手をかけていた。

○4749|46○T舞人
●4749|46●T舞人

○4795|99○「くそぅ、手ひどい裏切りだ。信じてたのに、信じてたのにッ」
●4795|99●「くそぅ、手ひどい裏切りだ。信じてたのに、信じてたのにッ」

○5043|46○T山彦
●5043|46●T山彦

○5148|75○「だから、悪かったって言っただろ」
●5148|75●「だから、悪かったって言っただろ」

○5263|46○T舞人
●5263|46●T舞人

○5309|175○「ふゥ、ふゥ……くそっ、こんな屈辱は、マチガイ電話の相手に『あなた、役不足って言葉の意味を履きちがえてますよ』と指摘されたとき以来だ」
●5309|175●「ふゥ、ふゥ……くそっ、こんな屈辱は、マチガイ電話の相手に『あなた、役不足って言葉の意味を履きちがえてますよ』と指摘されたとき以来だ」

○5633|46○T山彦
●5633|46●T山彦

○5738|109○「どういう手順を踏んだら、間違い電話の相手にそんな単語を使うんだよ」
●5738|109●「どういう手順を踏んだら、間違い電話の相手にそんな単語を使うんだよ」

○5887|46○T舞人
●5887|46●T舞人

○5933|91○「そんなもん、おまえ決まってるだろう。なあ、星崎」
●5933|91●「そんなもん、おまえ決まってるだろう。なあ、星崎」

○6213|89○　たまたまそばを通りかかった女に話題を振ったが、
●6213|89●　たまたまそばを通りかかった女に話題を振ったが、

○6342|46○T希望
●6342|46●T希望

○6388|53○「…………」
●6388|53●「…………」

○6611|73○　なんの回答もいただけなかった。
●6611|73●　なんの回答もいただけなかった。

○6833|46○T山彦
