○173|53○T_StartupDay
●173|53●T_StartupDay

○281|62○T『祝う』⇒こだま＋１
●281|62●T『祝う』⇒こだま＋１

○343|64○T『祝わない』⇒変化なし
●343|64●T『祝わない』⇒変化なし

○944|76○T『きっと似合いますよ』⇒こだま＋１
●944|76●T『きっと似合いますよ』⇒こだま＋１

○1020|74○T『きっと人気者ですよ』⇒変化なし
●1020|74●T『きっと人気者ですよ』⇒変化なし

○1752|72○T『退屈を凌ぎに行く』⇒希望＋１
●1752|72●T『退屈を凌ぎに行く』⇒希望＋１

○1824|82○T『そんな暇はないぞ』⇒希望フラグ３Ｏｆｆ
●1824|82●T『そんな暇はないぞ』⇒希望フラグ３Ｏｆｆ

○2478|49○TCmn0606
●2478|49●TCmn0606

○2635|57○T_CreateSaveText
●2635|57●T_CreateSaveText

○2692|53○T_PrintParam
●2692|53●T_PrintParam

○2745|54○TBGSU_10a.gpd
●2745|54●TBGSU_10a.gpd

○2899|46○T舞人
●2899|46●T舞人

○2945|51○「はっ！」
●2945|51●「はっ！」

○3086|75○　な、なぜ俺はここにいるんだ……。
●3086|75●　な、なぜ俺はここにいるんだ……。

○3201|171○　明日からの中間考査に向け、市立図書室で集中的に勉強するつもりだったのに。どうして俺はゲームセンターの前に立っているんだろう……。
●3201|171●　明日からの中間考査に向け、市立図書室で集中的に勉強するつもりだったのに。どうして俺はゲームセンターの前に立っているんだろう……。

○3412|89○　いやはや、世の中には不思議なこともあるもんだ。
●3412|89●　いやはや、世の中には不思議なこともあるもんだ。

○3541|143○　俺は強固な意志をもって、きびすを返した。今日ばかりは自分に甘い顔をしている余裕はない。耐えろ、舞人。
●3541|143●　俺は強固な意志をもって、きびすを返した。今日ばかりは自分に甘い顔をしている余裕はない。耐えろ、舞人。

○3774|113○　まあ、でも腹が減ってはなんとやら、どうせだから食事でも取っていくかな。
●3774|113●　まあ、でも腹が減ってはなんとやら、どうせだから食事でも取っていくかな。

○3927|137○　周囲に目を配りながら歩いていると、ガラス一枚とおした向こうに、ふと見知った小さな姿を見つけた。
●3927|137●　周囲に目を配りながら歩いていると、ガラス一枚とおした向こうに、ふと見知った小さな姿を見つけた。

○4104|169○　駅前デパートの一階、婦人用鞄売り場らしき一角で、ショートカットに変貌を遂げた里見先輩が、真剣なまなざしで陳列棚を物色していた。
●4104|169●　駅前デパートの一階、婦人用鞄売り場らしき一角で、ショートカットに変貌を遂げた里見先輩が、真剣なまなざしで陳列棚を物色していた。

○4370|46○T舞人
●4370|46●T舞人

○4416|63○「おーい、せんぱーい」
●4416|63●「おーい、せんぱーい」

○4559|115○　声が届くとも思えなかったが、俺は分厚いガラスを叩いて先輩の注意を促した。
●4559|115●　声が届くとも思えなかったが、俺は分厚いガラスを叩いて先輩の注意を促した。

○4811|53○　ドンドン！
●4811|53●　ドンドン！

○4961|65○　ドンドン！　ドンドン！
●4961|65●　ドンドン！　ドンドン！

○5066|109○　駄目だ……何をそんなに、ってぐらい品選びにご執心で気付きやしない。
●5066|109●　駄目だ……何をそんなに、ってぐらい品選びにご執心で気付きやしない。

○5215|89○　ちっ……仕方ない、他のお客さまの力を借りるか。
●5215|89●　ちっ……仕方ない、他のお客さまの力を借りるか。

○5384|83○　俺はその場に腰を下ろし、あぐらをかいた。
●5384|83●　俺はその場に腰を下ろし、あぐらをかいた。

○5507|46○T舞人
●5507|46●T舞人

○5553|79○「桜井舞人リサイタル！　まもなく始まる
●5553|79●「桜井舞人リサイタル！　まもなく始まる

○5672|51○よ～っ！」
●5672|51●よ～っ！」

○5803|149○　通行人という名のオーディエンスに予告編を報じてから、俺は咳払いをイントロ代わりに自慢の喉をふるわせ始めた。
●5803|149●　通行人という名のオーディエンスに予告編を報じてから、俺は咳払いをイントロ代わりに自慢の喉をふるわせ始めた。

○5992|46○T舞人
●5992|46●T舞人

○6038|61○「♪ふぇ～あうぇ～」
●6038|61●「♪ふぇ～あうぇ～」

○6139|59○「♪せつな～さ～」
●6139|59●「♪せつな～さ～」

○6238|71○「♪ざーんーこーくぅで～……」
●6238|71●「♪ざーんーこーくぅで～……」

○6389|73○　往来がにわかにざわめき始めた。
●6389|73●　往来がにわかにざわめき始めた。

○6502|85○　誰もが俺の歌声に足をとめ、耳を傾けている。
●6502|85●　誰もが俺の歌声に足をとめ、耳を傾けている。

