○173|53○T_StartupDay
●173|53●T_StartupDay

○1359|49○TCmn0717
●1359|49●TCmn0717

○1532|57○T_CreateSaveText
●1532|57●T_CreateSaveText

○1589|53○T_PrintParam
●1589|53●T_PrintParam

○1692|54○TBGSP_02a.gpd
●1692|54●TBGSP_02a.gpd

○1796|46○T舞人
●1796|46●T舞人

○1842|57○「……ふぁ～あ」
●1842|57●「……ふぁ～あ」

○1979|77○　今日もまた早く起きてしまった……。
●1979|77●　今日もまた早く起きてしまった……。

○2096|83○　どうもテスト期間中ってのは落ちつかない。
●2096|83●　どうもテスト期間中ってのは落ちつかない。

○2219|161○　武者震いと似たようなもんかな。俺ぐらい試験を強くのぞんでいると、脳内に興奮を引きおこす何かが分泌されるのかもしれない。
●2219|161●　武者震いと似たようなもんかな。俺ぐらい試験を強くのぞんでいると、脳内に興奮を引きおこす何かが分泌されるのかもしれない。

○2420|149○　なんて愚にもつかない考察をしててもいい点が取れるわけじゃなし、早いとこガッコ行って教科書でもめくるか……。
●2420|149●　なんて愚にもつかない考察をしててもいい点が取れるわけじゃなし、早いとこガッコ行って教科書でもめくるか……。

○2811|54○TBGSU_00a.gpd
●2811|54●TBGSU_00a.gpd

○2995|103○　階段の下は、太陽が肌を焼く真夏の世界。今日は暑くなりそうだ。
●2995|103●　階段の下は、太陽が肌を焼く真夏の世界。今日は暑くなりそうだ。

○3138|181○　真っ青な空に白い雲が浮かぶようになって三日。もう雨はいいだろう。これでしばらくは、ズボンの裾が微妙に濡れたりするのを気にしなくて済むんだ。
●3138|181●　真っ青な空に白い雲が浮かぶようになって三日。もう雨はいいだろう。これでしばらくは、ズボンの裾が微妙に濡れたりするのを気にしなくて済むんだ。

○3359|117○　汗でべっとりするのはもっと嫌だけど。首まわりとか腋の下とか……下半身もな。
●3359|117●　汗でべっとりするのはもっと嫌だけど。首まわりとか腋の下とか……下半身もな。

○3516|85○　ああ嫌だ嫌だ、とにかく夏は嫌なことが多い。
●3516|85●　ああ嫌だ嫌だ、とにかく夏は嫌なことが多い。

○3786|54○TBGSU_10a.gpd
●3786|54●TBGSU_10a.gpd

○4098|99○　嫌だ嫌だと呟いていたら、足が自然に速くなっていたようだ。
●4098|99●　嫌だ嫌だと呟いていたら、足が自然に速くなっていたようだ。

○4237|163○　前方に見覚えのある背中が二つ……それぞれ異なる二種類の学生服。どうも先に出発したはずの列車に追いついてしまったみたいだ。
●4237|163●　前方に見覚えのある背中が二つ……それぞれ異なる二種類の学生服。どうも先に出発したはずの列車に追いついてしまったみたいだ。

○4440|46○T小町
●4440|46●T小町

○4545|97○「だから朝は紅茶がおすすめ。シャッキリするよシャッキリ」
●4545|97●「だから朝は紅茶がおすすめ。シャッキリするよシャッキリ」

○4682|46○T青葉
●4682|46●T青葉

○4787|75○「そっかぁ、シャッキリするんだぁ」
●4787|75●「そっかぁ、シャッキリするんだぁ」

○4902|46○T舞人
●4902|46●T舞人

○4948|75○「やあ、暑は夏いねえ、お二人さん」
●4948|75●「やあ、暑は夏いねえ、お二人さん」

○5103|103○　俺はそっと走りよって、なに喰わぬ顔で彼女らの会話に加わった。
●5103|103●　俺はそっと走りよって、なに喰わぬ顔で彼女らの会話に加わった。

○5355|46○T青葉
●5355|46●T青葉

○5460|67○「あれ、おにいちゃん……」
●5460|67●「あれ、おにいちゃん……」

○5676|46○T小町
●5676|46●T小町

○5781|81○「いよいよ暑まっさかりですね、せんぱい」
●5781|81●「いよいよ暑まっさかりですね、せんぱい」

○6011|46○T青葉
●6011|46●T青葉

○6116|77○「でも、あんまり夏いのは困るよねー」
●6116|77●「でも、あんまり夏いのは困るよねー」

○6233|46○T舞人
●6233|46●T舞人

○6279|87○「まあ、夏さこそ暑の風物詩ではあるんだけどな」
●6279|87●「まあ、夏さこそ暑の風物詩ではあるんだけどな」

○6446|81○　誰もツッコまず。みんな自分勝手だなぁ。
●6446|81●　誰もツッコまず。みんな自分勝手だなぁ。

○6567|46○T舞人
●6567|46●T舞人

○6613|97○「で、なんの話だ雪村、朝からシャッキリとかモッコリとか」
●6613|97●「で、なんの話だ雪村、朝からシャッキリとかモッコリとか」

○6909|46○T小町
●6909|46●T小町

○7014|73○「……そんなこと言ってないべさ」
●7014|73●「……そんなこと言ってないべさ」

○7217|83○　赤くなった。相変わらず下ネタに弱いやつ。
●7217|83●　赤くなった。相変わらず下ネタに弱いやつ。

