○158|53○T_StartupDay
●158|53●T_StartupDay

○251|72○T『おことばに甘える』⇒青葉＋１
●251|72●T『おことばに甘える』⇒青葉＋１

○323|72○T『慎んでお断りする』⇒変化なし
●323|72●T『慎んでお断りする』⇒変化なし

○977|86○T『最後くらいじっくり語りあうか』⇒つばさ＋１
●977|86●T『最後くらいじっくり語りあうか』⇒つばさ＋１

○1063|82○T『最後くらいあっさり別れるか』⇒変化なし
●1063|82●T『最後くらいあっさり別れるか』⇒変化なし

○1724|92○T『とりあえず連れだす』⇒希望＋１、希望フラグ１Ｏｎ
●1724|92●T『とりあえず連れだす』⇒希望＋１、希望フラグ１Ｏｎ

○1816|74○T『とりあえず逃げだす』⇒変化なし
●1816|74●T『とりあえず逃げだす』⇒変化なし

○2481|49○TCmn0409
●2481|49●TCmn0409

○2640|57○T_CreateSaveText
●2640|57●T_CreateSaveText

○2697|53○T_PrintParam
●2697|53●T_PrintParam

○2897|91○　閉ざされていた意識の扉を優しくノックする硬質音。
●2897|91●　閉ざされていた意識の扉を優しくノックする硬質音。

○3028|44○T声
●3028|44●T声

○3131|81○「……おにいちゃん？　おにいちゃーん！」
●3131|81●「……おにいちゃん？　おにいちゃーん！」

○3292|115○　それに重なる少女の声も、調子こそ強めなものの声量自体はそれほどでもない。
●3292|115●　それに重なる少女の声も、調子こそ強めなものの声量自体はそれほどでもない。

○3447|101○　どちらも眠りから覚めるにはほどよい、優しげなボリュームだ。
●3447|101●　どちらも眠りから覚めるにはほどよい、優しげなボリュームだ。

○3628|54○TBGSP_02a.gpd
●3628|54●TBGSP_02a.gpd

○3772|105○　呼びかけに応えるため、俺は布団から這いでてのっそり立ちあがる。
●3772|105●　呼びかけに応えるため、俺は布団から這いでてのっそり立ちあがる。

○3917|153○　六畳一間の小さな俺王国を、まだおぼつかない足取りで横断。外側から控えめなリズムで叩かれているドアに手をかける。
●3917|153●　六畳一間の小さな俺王国を、まだおぼつかない足取りで横断。外側から控えめなリズムで叩かれているドアに手をかける。

○4160|46○T舞人
●4160|46●T舞人

○4206|53○「……はい」
●4206|53●「……はい」

○4389|109○　寝起き直後の潰れた声で、俺は玄関の向こうに立っている少女を迎えた。
●4389|109●　寝起き直後の潰れた声で、俺は玄関の向こうに立っている少女を迎えた。

○4538|54○TBGSP_03a.gpd
●4538|54●TBGSP_03a.gpd

○4908|46○T舞人
●4908|46●T舞人

○4954|73○「んー……おはよー、青葉ちゃん」
●4954|73●「んー……おはよー、青葉ちゃん」

○5216|46○T青葉
●5216|46●T青葉

○5321|71○「お、おはよう、おにいちゃん」
●5321|71●「お、おはよう、おにいちゃん」

○5491|133○「ご、ごめんね、まだ寝てたのに……でも、そろそろ起こした方がいいってお父さんが言うから……」
●5491|133●「ご、ごめんね、まだ寝てたのに……でも、そろそろ起こした方がいいってお父さんが言うから……」

○5704|89○　ひどく狼狽した調子でもごもご言う制服姿の少女。
●5704|89●　ひどく狼狽した調子でもごもご言う制服姿の少女。

○5833|87○　隣室に住むシゲさんの一人娘、森青葉ちゃんだ。
●5833|87●　隣室に住むシゲさんの一人娘、森青葉ちゃんだ。

○5960|89○　俺は小さく振りかえって部屋の壁時計を確認した。
●5960|89●　俺は小さく振りかえって部屋の壁時計を確認した。

○6089|99○　文字盤の上で短い針と長い針が、逆「く」の字を描いている。
●6089|99●　文字盤の上で短い針と長い針が、逆「く」の字を描いている。

○6228|155○　それほど切羽詰まった状況でもないけど、落ちついた登校を果たしたいのならもう仕度を始めた方がいいという時間だった。
●6228|155●　それほど切羽詰まった状況でもないけど、落ちついた登校を果たしたいのならもう仕度を始めた方がいいという時間だった。

○6423|46○T青葉
●6423|46●T青葉

○6528|91○「ごめんなさい。私、出過ぎた真似しちゃったね……」
●6528|91●「ごめんなさい。私、出過ぎた真似しちゃったね……」

○6827|109○「あ、あの、もしまだ寝るんだったら、またあとで起こしに来るけど……」
●6827|109●「あ、あの、もしまだ寝るんだったら、またあとで起こしに来るけど……」

○7016|149○　青葉ちゃんは本当に出過ぎた真似をいたしたと思っているらしく、いつも以上に弱腰な態度で俺の反応を窺っている。
●7016|149●　青葉ちゃんは本当に出過ぎた真似をいたしたと思っているらしく、いつも以上に弱腰な態度で俺の反応を窺っている。

○7205|163○　彼女は朝、たまにこうして声をかけてくれる。うっかり目覚まし時計のセットを忘れることの多い俺にとってはありがたい話だった。
●7205|163●　彼女は朝、たまにこうして声をかけてくれる。うっかり目覚まし時計のセットを忘れることの多い俺にとってはありがたい話だった。

○7408|46○T舞人
●7408|46●T舞人

○7454|81○「いや、ちょうどいい時間だから起きるよ」
●7454|81●「いや、ちょうどいい時間だから起きるよ」

○7724|103○　青葉ちゃんの通う敬星女学院は、俺のとこよりも遠くに位置する。
●7724|103●　青葉ちゃんの通う敬星女学院は、俺のとこよりも遠くに位置する。

○7867|157○　だから朝は俺よりも忙しいと思うんだけど、よく他人の世話なんか焼いてる暇があるよなあ。よっぽど早起きしてるんだろう。
●7867|157●　だから朝は俺よりも忙しいと思うんだけど、よく他人の世話なんか焼いてる暇があるよなあ。よっぽど早起きしてるんだろう。

○8064|115○　元来、他人の面倒を見るのが苦じゃない性格みたいだし、実に頼もしい存在だ。
●8064|115●　元来、他人の面倒を見るのが苦じゃない性格みたいだし、実に頼もしい存在だ。

○8219|179○　こんないい子だから、ふだん山彦みたいな汚れた大人たちには偽悪的に振るまっている俺も、青葉ちゃんが相手だとつい優しい気持ちになってしまう。
●8219|179●　こんないい子だから、ふだん山彦みたいな汚れた大人たちには偽悪的に振るまっている俺も、青葉ちゃんが相手だとつい優しい気持ちになってしまう。

○8438|46○T舞人
●8438|46●T舞人

○8484|75○「むろん、こっちが俺の素なのだが」
●8484|75●「むろん、こっちが俺の素なのだが」

○8708|46○T青葉
●8708|46●T青葉

○8813|59○「……え、なに？」
●8813|59●「……え、なに？」

○8912|46○T舞人
●8912|46●T舞人

○8958|103○「いや、なんでもないよ。起こしてくれてありがとう、青葉ちゃん」
