○173|53○T_StartupDay
●173|53●T_StartupDay

○323|66○T『考えなおせ』⇒変化なし
●323|66●T『考えなおせ』⇒変化なし

○389|76○T『かまわない』⇒小町＋１、青葉＋１
●389|76●T『かまわない』⇒小町＋１、青葉＋１

○1425|68○T『校庭コース』⇒つばさ＋１
●1425|68●T『校庭コース』⇒つばさ＋１

○1493|66○T『校舎コース』⇒変化なし
●1493|66●T『校舎コース』⇒変化なし

○2199|49○TCmn0711
●2199|49●TCmn0711

○2360|57○T_CreateSaveText
●2360|57●T_CreateSaveText

○2417|53○T_PrintParam
●2417|53●T_PrintParam

○2582|54○TBGSP_02d.gpd
●2582|54●TBGSP_02d.gpd

○2726|57○　いらいら……。
●2726|57●　いらいら……。

○2823|59○　今日も雨か……。
●2823|59●　今日も雨か……。

○2922|79○　梅雨たけなわだな、ここんとこ連日だ。
●2922|79●　梅雨たけなわだな、ここんとこ連日だ。

○3041|129○　こう湿っぽいと不快指数が上昇して、日頃は温厚な俺もさすがに腹立たしい気分になってくる。
●3041|129●　こう湿っぽいと不快指数が上昇して、日頃は温厚な俺もさすがに腹立たしい気分になってくる。

○3210|61○　いらいらいら……。
●3210|61●　いらいらいら……。

○3408|57○　コンコン……。
●3408|57●　コンコン……。

○3505|99○　雨と同じで、雪村は頼みもしないのに毎日やってくるし……。
●3505|99●　雨と同じで、雪村は頼みもしないのに毎日やってくるし……。

○3644|71○　よし、決めた、八つ当たりだ。
●3644|71●　よし、決めた、八つ当たりだ。

○3755|46○T舞人
●3755|46●T舞人

○3801|165○「うるせえ不細工ッ！　あんだよ、鍵なら開いてんべ。いつもみてぇに勝手に入ってくりゃいいだろがよ、このコソ泥猫！　プッシィ！」
●3801|165●「うるせえ不細工ッ！　あんだよ、鍵なら開いてんべ。いつもみてぇに勝手に入ってくりゃいいだろがよ、このコソ泥猫！　プッシィ！」

○4056|67○「プッシィ！　プッシィ！」
●4056|67●「プッシィ！　プッシィ！」

○4253|53○　…………。
●4253|53●　…………。

○4346|67○　しばらく返事がなかった。
●4346|67●　しばらく返事がなかった。

○4453|109○　あれ、どうしたんだ。雪村だったらこのぐらい冗談だって分かるよなあ。
●4453|109●　あれ、どうしたんだ。雪村だったらこのぐらい冗談だって分かるよなあ。

○4602|99○　と俺が玄関に視線を向けると、その扉がおずおずと開かれた。
●4602|99●　と俺が玄関に視線を向けると、その扉がおずおずと開かれた。

○4798|54○TBGSP_03a.gpd
●4798|54●TBGSP_03a.gpd

○4961|46○T青葉
●4961|46●T青葉

○5066|79○「ご、ごめんなさい、おにいちゃん……」
●5066|79●「ご、ごめんなさい、おにいちゃん……」

○5292|46○T舞人
●5292|46●T舞人

○5338|65○「あ、青葉ちゃんッ！？」
●5338|65●「あ、青葉ちゃんッ！？」

○5602|46○T青葉
●5602|46●T青葉

○5707|101○「ごめんなさい、ごめんなさい……ぶさいくでごめんなさい……」
●5707|101●「ごめんなさい、ごめんなさい……ぶさいくでごめんなさい……」

○5848|46○T舞人
●5848|46●T舞人

○5894|75○「い、いや！　ち、違うんですよ！」
●5894|75●「い、いや！　ち、違うんですよ！」

○6009|183○「えーと……そうだ、いまちょっと芝居の練習をしてたんだよ。ははは、女好きで口の悪い、マフィア上がりのパスタ職人っていう難しい役どころでね……」
●6009|183●「えーと……そうだ、いまちょっと芝居の練習をしてたんだよ。ははは、女好きで口の悪い、マフィア上がりのパスタ職人っていう難しい役どころでね……」

○6341|46○T青葉
●6341|46●T青葉

○6446|101○「な、なんだ、そうだったんだ。えへへ、びっくりしちゃったよ」
●6446|101●「な、なんだ、そうだったんだ。えへへ、びっくりしちゃったよ」

○6587|46○T舞人
●6587|46●T舞人

○6633|55○「アー、アー、
●6633|55●「アー、アー、

○6778|45○　ア
●6778|45●　ア

○6873|45○　エ
●6873|45●　エ

○6968|45○　イ
●6968|45●　イ

○7063|45○　ウ
●7063|45●　ウ

○7158|45○　エ
●7158|45●　エ

○7253|45○　オ
●7253|45●　オ

○7348|45○　ア
●7348|45●　ア

○7443|49○　オ　」
●7443|49●　オ　」

○7532|197○「トニー、この野郎！　ナポリ市民がみんなナポリタン食ってると思ったら大間違いだ、ボンゴレを馬鹿にする奴ぁアサリの貝殻でドタマかち割ってエーゲ海に沈めるぞ！」
