○158|53○T_StartupDay
●158|53●T_StartupDay

○418|74○T『小町の姿を反芻する』⇒小町＋１
●418|74●T『小町の姿を反芻する』⇒小町＋１

○492|72○T『小町の姿を忘れる』⇒変化なし
●492|72●T『小町の姿を忘れる』⇒変化なし

○1098|49○TCmn0514
●1098|49●TCmn0514

○1269|57○T_CreateSaveText
●1269|57●T_CreateSaveText

○1326|53○T_PrintParam
●1326|53●T_PrintParam

○1536|54○TBGSP_06a.gpd
●1536|54●TBGSP_06a.gpd

○1749|46○T浅間
●1749|46●T浅間

○1854|67○「おい、委員長と副委員長」
●1854|67●「おい、委員長と副委員長」

○2001|113○　朝のホームルームが終わった直後、例によって鬼浅間が俺たちを呼ばわった。
●2001|113●　朝のホームルームが終わった直後、例によって鬼浅間が俺たちを呼ばわった。

○2154|157○　職員室へも向かわずに、教室の端で窓外を見下ろしている。外の景色を見て、なにかろくでもないことを思いついたんだろう。
●2154|157●　職員室へも向かわずに、教室の端で窓外を見下ろしている。外の景色を見て、なにかろくでもないことを思いついたんだろう。

○2351|46○T舞人
●2351|46●T舞人

○2397|55○「なんすかー」
●2397|55●「なんすかー」

○2601|48○Tつばさ
●2601|48●Tつばさ

○2708|55○「なんすかー」
●2708|55●「なんすかー」

○2912|46○T浅間
●2912|46●T浅間

○3017|63○「見てみろ、どう思う」
●3017|63●「見てみろ、どう思う」

○3160|87○　窓枠の外に身を出していた鬼浅間に並ぶ俺たち。
●3160|87●　窓枠の外に身を出していた鬼浅間に並ぶ俺たち。

○3287|46○T舞人
●3287|46●T舞人

○3333|85○「携帯電話のアンテナ表示マークに似てますね」
●3333|85●「携帯電話のアンテナ表示マークに似てますね」

○3458|46○T浅間
●3458|46●T浅間

○3563|109○「誰が体育倉庫に立てかけてあるトンボを見ろと言った。真下を見てみろ」
●3563|109●「誰が体育倉庫に立てかけてあるトンボを見ろと言った。真下を見てみろ」

○3771|113○「……どうだ。散った桜の花びらが学園の景観を損ねて、実に見苦しいだろう」
●3771|113●「……どうだ。散った桜の花びらが学園の景観を損ねて、実に見苦しいだろう」

○3924|46○T舞人
●3924|46●T舞人

○3970|55○「いえ、別に」
●3970|55●「いえ、別に」

○4543|46○T舞人
●4543|46●T舞人

○4589|81○「あ、いえ、見苦しいです見苦しいです！」
●4589|81●「あ、いえ、見苦しいです見苦しいです！」

○4710|115○「痛、痛っ、見苦しいから許してください！ぼ、暴力反対！　助けてガンジー！」
●4710|115●「痛、痛っ、見苦しいから許してください！ぼ、暴力反対！　助けてガンジー！」

○5123|46○T浅間
●5123|46●T浅間

○5228|115○「というわけだ。八重樫も、すまんが昼休みにでも軽く掃き掃除しておいてくれ」
●5228|115●「というわけだ。八重樫も、すまんが昼休みにでも軽く掃き掃除しておいてくれ」

○5383|48○Tつばさ
●5383|48●Tつばさ

○5490|61○「はあ、軽くですか」
●5490|61●「はあ、軽くですか」

○5631|93○　ちなみに、とても軽い作業で片付くような量ではない。
●5631|93●　ちなみに、とても軽い作業で片付くような量ではない。

○5873|46○T浅間
●5873|46●T浅間

○5978|137○「しっかり頼んだぞ。別れと出会いの季節を華やかに飾ってくれた大自然への、感謝の気持ちを込めてな」
●5978|137●「しっかり頼んだぞ。別れと出会いの季節を華やかに飾ってくれた大自然への、感謝の気持ちを込めてな」

○6155|46○T舞人
●6155|46●T舞人

○6201|97○「ははあ、偉大なる大自然も役目が済んだらゴミ扱いですか」
●6201|97●「ははあ、偉大なる大自然も役目が済んだらゴミ扱いですか」

○6338|119○「狡兎死して走狗煮らるってわけですな。人間とはなんと傲慢な生き物であることよ」
●6338|119●「狡兎死して走狗煮らるってわけですな。人間とはなんと傲慢な生き物であることよ」

○6606|46○T浅間
●6606|46●T浅間

○6711|87○「口だけは達者だな。いいから綺麗にしておけよ」
●6711|87●「口だけは達者だな。いいから綺麗にしておけよ」

○7027|145○　鬼浅間は一方的な指令を残して立ちさった。担任自ら率先して、学級委員を雑用係におとしめているふしがある。
●7027|145●　鬼浅間は一方的な指令を残して立ちさった。担任自ら率先して、学級委員を雑用係におとしめているふしがある。

○7212|48○Tつばさ
●7212|48●Tつばさ

○7319|55○「……だって」
●7319|55●「……だって」

○7473|67○「じゃ、昼休みってことで」
●7473|67●「じゃ、昼休みってことで」

○7710|139○　八重樫は愚痴をこぼすエネルギーも勿体ないとばかりに、下された任務を無表情で受けいれて席に戻った。
●7710|139●　八重樫は愚痴をこぼすエネルギーも勿体ないとばかりに、下された任務を無表情で受けいれて席に戻った。

○7889|139○　俺は八つ当たりとして、たまたまそこにあった上野君の机を百八十度回転させてから、自分の席についた。
●7889|139●　俺は八つ当たりとして、たまたまそこにあった上野君の机を百八十度回転させてから、自分の席についた。

○8315|54○TBGSU_05a.gpd
●8315|54●TBGSU_05a.gpd

○8518|57○　そして昼休み。
●8518|57●　そして昼休み。

○8615|83○　花なき桜の樹を背景に、対峙する二人の侍。
●8615|83●　花なき桜の樹を背景に、対峙する二人の侍。

○8738|46○T舞人
●8738|46●T舞人

○8784|55○「……いくぞ」
●8784|55●「……いくぞ」

○8879|48○Tつばさ
●8879|48●Tつばさ

○8986|57○「……来なさい」
●8986|57●「……来なさい」

○9123|121○　俺たちは竹ボウキという名の刀を正眼に構え、すでに数合の打ちあいを交わしていた。
●9123|121●　俺たちは竹ボウキという名の刀を正眼に構え、すでに数合の打ちあいを交わしていた。

○9284|61○　そして今また……。
●9284|61●　そして今また……。

○9494|48○Tつばさ
●9494|48●Tつばさ

○9601|61○「ジャンケンポン！」
●9601|61●「ジャンケンポン！」

○9761|59○「あいこでしょ！」
●9761|59●「あいこでしょ！」

○9919|61○「あいこでしょ！！」
●9919|61●「あいこでしょ！！」

○10192|57○　カキィィィン！
●10192|57●　カキィィィン！

○10398|48○Tつばさ
●10398|48●Tつばさ

○10505|55○「……やるな」
●10505|55●「……やるな」

○10600|46○T舞人
●10600|46●T舞人

○10646|59○「……おまえもな」
