○158|53○T_StartupDay
●158|53●T_StartupDay

○266|64○T『降伏する』⇒希望＋１
●266|64●T『降伏する』⇒希望＋１

○330|64○T『まだまだ』⇒変化なし
●330|64●T『まだまだ』⇒変化なし

○1075|49○TCmn0428
●1075|49●TCmn0428

○1250|57○T_CreateSaveText
●1250|57●T_CreateSaveText

○1307|53○T_PrintParam
●1307|53●T_PrintParam

○1410|54○TBGSP_06a.gpd
●1410|54●TBGSP_06a.gpd

○1680|46○T山彦
●1680|46●T山彦

○1785|81○「遅くなっちまったな。とっとと食おうぜ」
●1785|81●「遅くなっちまったな。とっとと食おうぜ」

○1986|127○　山彦は俺の席のすぐ後ろ……あるじのいない八重樫の机に、茶色いポリエチレン袋を置いた。
●1986|127●　山彦は俺の席のすぐ後ろ……あるじのいない八重樫の机に、茶色いポリエチレン袋を置いた。

○2153|111○　中には、小腹の空いた俺たちを充足させうる貴重な食料が収められている。
●2153|111●　中には、小腹の空いた俺たちを充足させうる貴重な食料が収められている。

○2304|127○　昼休みが始まって三十分以上が経過している。すでに昼食を済ませた人間もいる時刻だった。
●2304|127●　昼休みが始まって三十分以上が経過している。すでに昼食を済ませた人間もいる時刻だった。

○2471|46○T舞人
●2471|46●T舞人

○2517|67○「鬼浅間は来ないだろうな」
●2517|67●「鬼浅間は来ないだろうな」

○2733|46○T山彦
●2733|46●T山彦

○2838|63○「来たらすぐに隠せよ」
●2838|63●「来たらすぐに隠せよ」

○2941|46○T舞人
●2941|46●T舞人

○2987|115○「しかしコソコソしてると、いけないことをしてるようで後ろ暗い気分になるな」
●2987|115●「しかしコソコソしてると、いけないことをしてるようで後ろ暗い気分になるな」

○3251|46○T山彦
●3251|46●T山彦

○3356|85○「当たり前だ、いけないことをしてるんだから」
●3356|85●「当たり前だ、いけないことをしてるんだから」

○3521|127○　桜坂学園では許可なき外出が禁じられている。昼休みに食料の買出しなど、もってのほかだ。
●3521|127●　桜坂学園では許可なき外出が禁じられている。昼休みに食料の買出しなど、もってのほかだ。

○3688|69○　しかし悪いのは俺じゃない。
●3688|69●　しかし悪いのは俺じゃない。

○3797|171○　四時間目に生物の池田がジャガイモの話なんかするから、せっかく早弁を済ませていたのに、俺の胃袋が急激におでんを欲してしまったのだ。
●3797|171●　四時間目に生物の池田がジャガイモの話なんかするから、せっかく早弁を済ませていたのに、俺の胃袋が急激におでんを欲してしまったのだ。

○4008|133○　仮に池田教諭が無罪だとしても、おでんを常備していない当校食堂の怠慢に問題があると言えよう。
●4008|133●　仮に池田教諭が無罪だとしても、おでんを常備していない当校食堂の怠慢に問題があると言えよう。

○4181|44○T声
●4181|44●T声

○4284|95○「あーっ、いっけないんだー。学級委員長が校則違反だー」
●4284|95●「あーっ、いっけないんだー。学級委員長が校則違反だー」

○4717|155○　フタを開けて広がった温かな香りに引きよせられたのか、星崎が食べかけの弁当と小憎らしい微笑を携えて擦りよってきた。
●4717|155●　フタを開けて広がった温かな香りに引きよせられたのか、星崎が食べかけの弁当と小憎らしい微笑を携えて擦りよってきた。

○4912|46○T山彦
●4912|46●T山彦

○5017|71○「……嬉しそうだね、星崎さん」
●5017|71●「……嬉しそうだね、星崎さん」

○5128|46○T希望
●5128|46●T希望

○5233|73○「そう？　気のせいじゃないかな」
●5233|73●「そう？　気のせいじゃないかな」

○5386|141○　と涼しい声で答えながら、星崎は首を伸ばして、湯気の立つプラスチック容器二つを交互に覗きこんでいる。
●5386|141●　と涼しい声で答えながら、星崎は首を伸ばして、湯気の立つプラスチック容器二つを交互に覗きこんでいる。

○5676|46○T希望
●5676|46●T希望

○5781|119○「そういえば浅間先生、大根が好きだって言ってたっけ。呼んできてあげよっかなー」
●5781|119●「そういえば浅間先生、大根が好きだって言ってたっけ。呼んできてあげよっかなー」

○5999|63○「どうしよっかなー♪」
●5999|63●「どうしよっかなー♪」

○6161|65○「呼んじゃおっかなー♪」
●6161|65●「呼んじゃおっかなー♪」

○6306|75○　俺と山彦は互いの顔を見合わせる。
●6306|75●　俺と山彦は互いの顔を見合わせる。

○6553|119○　一回うなずき合った次の瞬間、俺たちは互いの鼻先に各自の右手を突きだしていた。
●6553|119●　一回うなずき合った次の瞬間、俺たちは互いの鼻先に各自の右手を突きだしていた。

○6712|99○　俺は握りこぶし、山彦は五本の指を惜しげもなく開いた掌底。
●6712|99●　俺は握りこぶし、山彦は五本の指を惜しげもなく開いた掌底。

○6851|61○　つまり敗者は俺だ。
●6851|61●　つまり敗者は俺だ。

○6952|103○　山彦が目と顎で命じる。俺は舌打ちしてから星崎に向きなおった。
●6952|103●　山彦が目と顎で命じる。俺は舌打ちしてから星崎に向きなおった。

○7095|46○T舞人
●7095|46●T舞人

○7141|91○「……了承した、この桜井が応じよう。要求はなんだ」
●7141|91●「……了承した、この桜井が応じよう。要求はなんだ」

○7421|46○T希望
●7421|46●T希望

○7526|69○「ええー、そんな、悪いよぉ」
●7526|69●「ええー、そんな、悪いよぉ」

○7803|113○「でも、あえて言うなら……卵とキャベツロールと、あとウィンナー巻きかな」
●7803|113●「でも、あえて言うなら……卵とキャベツロールと、あとウィンナー巻きかな」

○7996|111○　人道を逸した理不尽きわまる言い分に、俺の背筋を冷たいものがよぎった。
●7996|111●　人道を逸した理不尽きわまる言い分に、俺の背筋を冷たいものがよぎった。

○8147|46○T舞人
●8147|46●T舞人

○8193|93○「そ、そんなには無理だ。せめてどれか一つにしてくれ」
●8193|93●「そ、そんなには無理だ。せめてどれか一つにしてくれ」

○8435|46○T希望
●8435|46●T希望

○8540|69○「じゃあキャベ玉ウィンナー」
●8540|69●「じゃあキャベ玉ウィンナー」

○8649|46○T舞人
●8649|46●T舞人

○8695|69○「……そんなメニューはない」
●8695|69●「……そんなメニューはない」

○8913|46○T希望
●8913|46●T希望

○9018|67○「あるよ、ほら。あるある」
●9018|67●「あるよ、ほら。あるある」

