○158|53○T_StartupDay
●158|53●T_StartupDay

○955|88○T『でかけよう』⇒つばさ＋１、つばさフラグ１Ｏｎ
●955|88●T『でかけよう』⇒つばさ＋１、つばさフラグ１Ｏｎ

○1043|88○T『家にいよう』⇒こだま＋１、こだまフラグ２Ｏｎ
●1043|88●T『家にいよう』⇒こだま＋１、こだまフラグ２Ｏｎ

○2763|49○TCmn0415
●2763|49●TCmn0415

○2928|57○T_CreateSaveText
●2928|57●T_CreateSaveText

○2985|53○T_PrintParam
●2985|53●T_PrintParam

○3088|54○TBGSP_02a.gpd
●3088|54●TBGSP_02a.gpd

○3232|79○　閉ざした目蓋の向こうに陽光の暖かさ。
●3232|79●　閉ざした目蓋の向こうに陽光の暖かさ。

○3351|87○　俺はいつもと同じぐらいの時間に目を覚ました。
●3351|87●　俺はいつもと同じぐらいの時間に目を覚ました。

○3478|79○　しかしすぐに布団から出たりはしない。
●3478|79●　しかしすぐに布団から出たりはしない。

○3597|83○　そう、今日は日曜日。週に一度の安息日だ。
●3597|83●　そう、今日は日曜日。週に一度の安息日だ。

○3720|121○　窓から射しこむ日差しが、室内に舞いおどる埃を小さな星みたいにきらめかせている。
●3720|121●　窓から射しこむ日差しが、室内に舞いおどる埃を小さな星みたいにきらめかせている。

○3881|101○　まだ春も半ばだけど、部屋を閉めきっていると少し暑いぐらい。
●3881|101●　まだ春も半ばだけど、部屋を閉めきっていると少し暑いぐらい。

○4022|117○　こんないい日和に家でくすぶっていたら、ちょっともったいない気分にさえなる。
●4022|117●　こんないい日和に家でくすぶっていたら、ちょっともったいない気分にさえなる。

○4179|117○　とか考えながらゴロゴロお笑い番組を観ているうちに、気付いたらもう正午前だ。
●4179|117●　とか考えながらゴロゴロお笑い番組を観ているうちに、気付いたらもう正午前だ。

○4592|57○T_CreateSaveText
●4592|57●T_CreateSaveText

○4649|53○T_PrintParam
●4649|53●T_PrintParam

○4742|129○　今日は山彦たちとクレープ屋に行く約束があった。たしか駅前プロムナードに二時だったよな。
●4742|129●　今日は山彦たちとクレープ屋に行く約束があった。たしか駅前プロムナードに二時だったよな。

○4911|55○　時計を見る。
●4911|55●　時計を見る。

○5006|131○　……まだ時間があるな。今日は珍しく女性同伴だから、たまには身だしなみに気を使って行くか。
●5006|131●　……まだ時間があるな。今日は珍しく女性同伴だから、たまには身だしなみに気を使って行くか。

○5177|73○　星崎が惚れちゃわない程度にな。
●5177|73●　星崎が惚れちゃわない程度にな。

○5290|95○　俺は整髪料とスケルトンブラシを手に、鏡の前に立った。
●5290|95●　俺は整髪料とスケルトンブラシを手に、鏡の前に立った。

○5425|103○　よし、根元を立ちあげる感じで全体のボリュームアップといこう。
●5425|103●　よし、根元を立ちあげる感じで全体のボリュームアップといこう。

○5568|46○T舞人
●5568|46●T舞人

○5614|79○「今宵、桜坂に美の化身が降臨する……」
●5614|79●「今宵、桜坂に美の化身が降臨する……」

○5773|131○　鏡面に映ったクールガイに人差し指を突きつけてから、手のひらいっぱいの泡を頭髪にすりこむ。
●5773|131●　鏡面に映ったクールガイに人差し指を突きつけてから、手のひらいっぱいの泡を頭髪にすりこむ。

○5944|55○　しかし……。
●5944|55●　しかし……。

○6039|87○　たちまち鏡面の男はボサボサ頭になりさがった。
●6039|87●　たちまち鏡面の男はボサボサ頭になりさがった。

○6166|63○　ボリュームアップ……
●6166|63●　ボリュームアップ……

○6279|89○というよりは、まるで洗髪後すぐに寝たあとの朝だ。
●6279|89●というよりは、まるで洗髪後すぐに寝たあとの朝だ。

○6408|46○T舞人
●6408|46●T舞人

○6454|93○「しまった、ノリを重視してムースをつけ過ぎたか……」
●6454|93●「しまった、ノリを重視してムースをつけ過ぎたか……」

○6627|55○　やり直しだ。
●6627|55●　やり直しだ。

○6722|91○　今度はウェット感を持たせて男の色気を演出しよう。
●6722|91●　今度はウェット感を持たせて男の色気を演出しよう。

○6853|46○T舞人
●6853|46●T舞人

○6899|89○「まなざしという名の快楽。舞人ファンタジア……」
●6899|89●「まなざしという名の快楽。舞人ファンタジア……」

○7068|97○　鏡面の男に熱い流し目を送ってから、ふたたび戦いに挑む。
●7068|97●　鏡面の男に熱い流し目を送ってから、ふたたび戦いに挑む。

○7205|55○　しかし……。
●7205|55●　しかし……。

○7300|87○　たちまち鏡面の男はべっとり頭になりさがった。
●7300|87●　たちまち鏡面の男はべっとり頭になりさがった。

○7427|57○　ウェット感……
●7427|57●　ウェット感……

○7534|71○というか、ただの濡れねずみだ。
●7534|71●というか、ただの濡れねずみだ。

○7645|46○T舞人
●7645|46●T舞人

○7691|83○「しまった、勇み足でジェルをつけ過ぎたか」
●7691|83●「しまった、勇み足でジェルをつけ過ぎたか」

○7854|57○　やりなおしだ。
●7854|57●　やりなおしだ。

○7951|65○　っていうかリセットだ。
●7951|65●　っていうかリセットだ。

○8056|175○　俺は風呂場で頭髪にこびりついた整髪料をきれいに洗いおとしてから、ドライヤーで適当に乾かして、けっきょくいつもの桜井君になりさがった。
●8056|175●　俺は風呂場で頭髪にこびりついた整髪料をきれいに洗いおとしてから、ドライヤーで適当に乾かして、けっきょくいつもの桜井君になりさがった。

○8271|46○T舞人
●8271|46●T舞人

○8317|79○「いつだって変わらないキミが好きだよ」
●8317|79●「いつだって変わらないキミが好きだよ」

○8476|117○　俺は鏡面の男に最後のつぶやきを残して、晴々とした面持ちで部屋をあとにした。
●8476|117●　俺は鏡面の男に最後のつぶやきを残して、晴々とした面持ちで部屋をあとにした。

○8970|57○T_CreateSaveText
●8970|57●T_CreateSaveText

○9027|53○T_PrintParam
●9027|53●T_PrintParam

○9120|137○　この調子でまったりとデカダンスな休日を愉しんでいたら、あっという間に一日の終幕を迎えてしまう。
●9120|137●　この調子でまったりとデカダンスな休日を愉しんでいたら、あっという間に一日の終幕を迎えてしまう。

○9297|117○　体がナメクジにならないうちに、外の空気でも吸いこんだ方がいいかもしれない。
