○173|53○T_StartupDay
●173|53●T_StartupDay

○770|49○TCmn0805
●770|49●TCmn0805

○953|57○T_CreateSaveText
●953|57●T_CreateSaveText

○1010|53○T_PrintParam
●1010|53●T_PrintParam

○1113|54○TBGSP_02c.gpd
●1113|54●TBGSP_02c.gpd

○1276|46○T舞人
●1276|46●T舞人

○1322|105○「ふはははははは！　いけ淫乱肉奴隷！　ご主人様を振り下ろせ！！」
●1322|105●「ふはははははは！　いけ淫乱肉奴隷！　ご主人様を振り下ろせ！！」

○1467|46○T和人
●1467|46●T和人

○1572|111○「ああ！　ダメだもうＨＰがない！　お願いかわして、乱れ恥女快感天国！」
●1572|111●「ああ！　ダメだもうＨＰがない！　お願いかわして、乱れ恥女快感天国！」

○1891|133○「って、やった本当にかわした！　しかもカウンター攻撃発生！　女王様の固定奥義『亀甲縛り』！」
●1891|133●「って、やった本当にかわした！　しかもカウンター攻撃発生！　女王様の固定奥義『亀甲縛り』！」

○2064|46○T舞人
●2064|46●T舞人

○2110|141○「なにい！　まてずるいぞ！　そいつは攻撃力設定が最強な分、発生確率は限りなくゼロに近いはずだろが！」
●2110|141●「なにい！　まてずるいぞ！　そいつは攻撃力設定が最強な分、発生確率は限りなくゼロに近いはずだろが！」

○2291|46○T和人
●2291|46●T和人

○2396|103○「でもゼロじゃないからね。やった、いったあ！　必殺亀甲縛り！」
●2396|103●「でもゼロじゃないからね。やった、いったあ！　必殺亀甲縛り！」

○2579|159○　画面の中では巨大な西洋風の剣を持った戦士が、鎖の先に鉄球のついた武器を手にした女僧侶の必殺技を受けて吹き飛んでいた。
●2579|159●　画面の中では巨大な西洋風の剣を持った戦士が、鎖の先に鉄球のついた武器を手にした女僧侶の必殺技を受けて吹き飛んでいた。

○2778|46○T舞人
●2778|46●T舞人

○2824|93○「ああああ、俺が苦労して育て上げた最強の戦士が……」
●2824|93●「ああああ、俺が苦労して育て上げた最強の戦士が……」

○3066|46○T和人
●3066|46●T和人

○3171|89○「こっちの僧侶だって舞人にいが育てたやつでしょ」
●3171|89●「こっちの僧侶だって舞人にいが育てたやつでしょ」

○3468|89○「でも、見てるだけっていうゲームも結構面白いね」
●3468|89●「でも、見てるだけっていうゲームも結構面白いね」

○3597|46○T舞人
●3597|46●T舞人

○3643|129○「昔はロボットもので結構あったんだがな。人間でこれをやったのは珍しい。さあ、もう一戦だ」
●3643|129●「昔はロボットもので結構あったんだがな。人間でこれをやったのは珍しい。さあ、もう一戦だ」

○3812|131○「今度は武器を変えてみるかな。破壊力重視のご主人様より、回避力重視の旦那様でいくとしよう」
●3812|131●「今度は武器を変えてみるかな。破壊力重視のご主人様より、回避力重視の旦那様でいくとしよう」

○4092|46○T和人
●4092|46●T和人

○4197|147○「でもさあ、もうちょっと呼びやすい名前無かったの？　武器や必殺技まで全部変更されてて、かなり呼びにくいよ」
●4197|147●「でもさあ、もうちょっと呼びやすい名前無かったの？　武器や必殺技まで全部変更されてて、かなり呼びにくいよ」

○4384|46○T舞人
●4384|46●T舞人

○4430|113○「この名前だから盛り上がるんだ。和人ももう少し大人になれば分かるだろう」
●4430|113●「この名前だから盛り上がるんだ。和人ももう少し大人になれば分かるだろう」

○4640|46○T小町
●4640|46●T小町

○4745|147○「せんぱいせんぱい。雪村です雪村です！　大ニュースがあるのでよろしければ、よろしくなくても開けて下さい！」
●4745|147●「せんぱいせんぱい。雪村です雪村です！　大ニュースがあるのでよろしければ、よろしくなくても開けて下さい！」

○4932|46○T舞人
●4932|46●T舞人

○4978|51○「ぐ……」
●4978|51●「ぐ……」

○5109|133○　天に届かんばかりの勢いで燃え上がっていた熱きゲーマー魂が、覚えのある声に急速に冷めていく。
●5109|133●　天に届かんばかりの勢いで燃え上がっていた熱きゲーマー魂が、覚えのある声に急速に冷めていく。

○5282|117○　まったく……あいつは、なぜいつもこうピンポイントなタイミングで現れるのか。
●5282|117●　まったく……あいつは、なぜいつもこうピンポイントなタイミングで現れるのか。

○5439|97○　留守だ留守。俺は今いないんだ。決めた。絶対そー決めた。
●5439|97●　留守だ留守。俺は今いないんだ。決めた。絶対そー決めた。

○5576|46○T舞人
●5576|46●T舞人

○5622|167○「ただいま訪れになったハンサムは、現在留守にしております。ご用件のある方は、発信音のあと豆腐の角に頭をぶつけてお帰りください」
