○350|53○T_StartupDay
●350|53●T_StartupDay

○762|49○TCmn0715
●762|49●TCmn0715

○929|57○T_CreateSaveText
●929|57●T_CreateSaveText

○986|53○T_PrintParam
●986|53●T_PrintParam

○1089|54○TBGSU_04a.gpd
●1089|54●TBGSU_04a.gpd

○1233|73○　今日は朝から晴れわたっていた。
●1233|73●　今日は朝から晴れわたっていた。

○1346|105○　久しぶりに見上げる青い空と白い雲。やっぱり夏はこうでなきゃな。
●1346|105●　久しぶりに見上げる青い空と白い雲。やっぱり夏はこうでなきゃな。

○1491|133○　煩わしい傘を持たないで済むようになったのがなによりの幸い。多少の暑さは我慢したいところだ。
●1491|133●　煩わしい傘を持たないで済むようになったのがなによりの幸い。多少の暑さは我慢したいところだ。

○1664|109○　これで今日が期末試験の初日じゃなければ言うことなかったんだけどな。
●1664|109●　これで今日が期末試験の初日じゃなければ言うことなかったんだけどな。

○1922|46○T山彦
●1922|46●T山彦

○2027|57○「よっ、舞人！」
●2027|57●「よっ、舞人！」

○2124|46○T舞人
●2124|46●T舞人

○2170|87○「なんだ山彦、その夏を意識したような白い歯は」
●2170|87●「なんだ山彦、その夏を意識したような白い歯は」

○2297|46○T山彦
●2297|46●T山彦

○2402|65○「昨日は楽しかったか？」
●2402|65●「昨日は楽しかったか？」

○2507|46○T舞人
●2507|46●T舞人

○2553|49○「あ？」
●2553|49●「あ？」

○2642|151○「ああ、楽しかったぞ？　よし、今日の放課後は新世紀遊戯シリーズ第二弾・ヴァーチャル射的でテスト後の憂さを……」
●2642|151●「ああ、楽しかったぞ？　よし、今日の放課後は新世紀遊戯シリーズ第二弾・ヴァーチャル射的でテスト後の憂さを……」

○2942|46○T山彦
●2942|46●T山彦

○3047|73○「馬鹿、違うよ、昨日の帰りだよ」
●3047|73●「馬鹿、違うよ、昨日の帰りだよ」

○3160|46○T舞人
●3160|46●T舞人

○3206|55○「帰り……？」
●3206|55●「帰り……？」

○3301|157○「ああ、そうだ、思いだしたぞこの堕天使め。昨日はよくも友を見捨ててくれたな。決めたぞ、今日は貴様の頭を的にして……」
●3301|157●「ああ、そうだ、思いだしたぞこの堕天使め。昨日はよくも友を見捨ててくれたな。決めたぞ、今日は貴様の頭を的にして……」

○3607|46○T山彦
●3607|46●T山彦

○3712|91○「そのおかげでプリンセスと帰れたんだ、感謝しろよ」
●3712|91●「そのおかげでプリンセスと帰れたんだ、感謝しろよ」

○3843|46○T舞人
●3843|46●T舞人

○3889|53○「……は？」
●3889|53●「……は？」

○3982|141○「なに言ってるんだ、おまえ。俺は昨日、アパートの住人とヨーロッパ経済について語りながら帰ったんだぞ」
●3982|141●「なに言ってるんだ、おまえ。俺は昨日、アパートの住人とヨーロッパ経済について語りながら帰ったんだぞ」

○4272|46○T山彦
●4272|46●T山彦

○4377|55○「……えっ？」
●4377|55●「……えっ？」

○4531|75○「星崎さん、待ってなかったのか？」
●4531|75●「星崎さん、待ってなかったのか？」

○4646|46○T舞人
●4646|46●T舞人

○4692|73○「なんであいつが俺を待つんだよ」
●4692|73●「なんであいつが俺を待つんだよ」

○4805|46○T山彦
●4805|46●T山彦

○4910|105○「だって昨日、俺が昇降口に着いたら彼女いたぞ。おまえの傘持って」
●4910|105●「だって昨日、俺が昇降口に着いたら彼女いたぞ。おまえの傘持って」

○5114|141○「鬼浅間に捕まったから長引くって教えたんだけど、私にも責任あるから待ってるって言ってたんだけど……」
●5114|141●「鬼浅間に捕まったから長引くって教えたんだけど、私にも責任あるから待ってるって言ってたんだけど……」

○5295|46○T舞人
●5295|46●T舞人

○5341|53○「へえ……」
●5341|53●「へえ……」

○5434|46○T山彦
●5434|46●T山彦

○5539|83○「おっかしいなぁ、本当にいなかったのか？」
●5539|83●「おっかしいなぁ、本当にいなかったのか？」

○5662|46○T舞人
●5662|46●T舞人

○5708|53○「…………」
●5708|53●「…………」

○5841|65○　いなかった……よなぁ？
●5841|65●　いなかった……よなぁ？

○5946|46○T山彦
●5946|46●T山彦

○6051|137○「星崎さんの性格からして、おまえを驚かそうとでも思って下駄箱の陰にでも隠れてたんじゃないのか？」
●6051|137●「星崎さんの性格からして、おまえを驚かそうとでも思って下駄箱の陰にでも隠れてたんじゃないのか？」

○6228|46○T舞人
●6228|46●T舞人

○6274|59○「ま、まさか……」
●6274|59●「ま、まさか……」

○6413|59○　ま、まさか……。
●6413|59●　ま、まさか……。

○6512|69○　喉の奥でもう一度つぶやく。
●6512|69●　喉の奥でもう一度つぶやく。

○6621|167○　たしかに刺すような視線は感じたけど……いや、まさかなぁ。桜坂のプリンセスともあろうお方が、俺ごときのために二時間も待つかぁ？
●6621|167●　たしかに刺すような視線は感じたけど……いや、まさかなぁ。桜坂のプリンセスともあろうお方が、俺ごときのために二時間も待つかぁ？

○6828|46○T舞人
●6828|46●T舞人

○6874|97○「どうせあれだろ、五分ぐらい待って痺れをきらしたんだろ」
●6874|97●「どうせあれだろ、五分ぐらい待って痺れをきらしたんだろ」

○7011|46○T山彦
●7011|46●T山彦

○7116|55○「そうかなぁ」
●7116|55●「そうかなぁ」

○7251|79○　俺はそう結論づけて、自分に都合の良い
●7251|79●　俺はそう結論づけて、自分に都合の良い

○7370|85○（いや、悪いのか？）解釈はしないことにした。
●7370|85●（いや、悪いのか？）解釈はしないことにした。

○7495|46○T舞人
●7495|46●T舞人

○7541|77○「っていうか、なぜ貴様が残念がる？」
●7541|77●「っていうか、なぜ貴様が残念がる？」

○7767|46○T山彦
●7767|46●T山彦

○7872|71○「だって、せっかく……なあ？」
●7872|71●「だって、せっかく……なあ？」

○8023|71○　なにが「なあ？」だ。知るか。
●8023|71●　なにが「なあ？」だ。知るか。

○8279|54○TBGSU_06a.gpd
●8279|54●TBGSU_06a.gpd

○8482|105○　テスト開始前の教室は、いつもの朝より緊張した空気が流れていた。
●8482|105●　テスト開始前の教室は、いつもの朝より緊張した空気が流れていた。

○8627|125○　ふだん大声を出しているような連中も、今日ばかりは貪るように教科書を睨みつけている。
●8627|125●　ふだん大声を出しているような連中も、今日ばかりは貪るように教科書を睨みつけている。

○8792|69○　星崎希望もその一人だった。
●8792|69●　星崎希望もその一人だった。

○8901|87○　背筋を伸ばし、机の上にテキストを立てている。
●8901|87●　背筋を伸ばし、机の上にテキストを立てている。

○9028|46○T山彦
●9028|46●T山彦

○9133|67○「おい、星崎さん来てるぞ」
●9133|67●「おい、星崎さん来てるぞ」

○9240|46○T舞人
●9240|46●T舞人

○9286|53○「お、おう」
●9286|53●「お、おう」

○9419|63○　なぜか俺はどもった。
●9419|63●　なぜか俺はどもった。

○9522|46○T山彦
●9522|46●T山彦

○9627|67○「昨日のこと聞いてこいよ」
●9627|67●「昨日のこと聞いてこいよ」

○9734|46○T舞人
●9734|46●T舞人

○9780|129○「な、なんでだよ、別にいいじゃないか。俺が帰るときにはいなかった、ただそれだけのことだ」
●9780|129●「な、なんでだよ、別にいいじゃないか。俺が帰るときにはいなかった、ただそれだけのことだ」

○10058|46○T山彦
